toolid,a,b
214,200,4.96329
215,200,4.96329
216,200,7.33014
#217,200,18.17785
218,200,7.13041
219,400,6.5155
220,200,3.78858
221,200,1.94977
222,200,2.12397
223,400,7.76544
224,400,5.05015
225,200,2.86237
226,400,4.38167
227,400,4.28002
228,400,1.80353
229,400,3.34948
230,400,5.34553
231,400,3.0286
#232,200,19.25066
234,400,2.83788
235,400,5.03757
236,200,2.47836
237,400,2.87318
238,400,2.05531
239,400,2.01434
240,400,4.44345
241,400,5.21992
242,400,2.83387
243,400,8.45521
244,400,3.50707
245,400,7.42516
246,400,10.97983
247,400,5.58057
248,400,9.49059
250,400,9.17991
#260,800,129.4
261,800,8.6
262,800,10.0
263,800,8.8
264,800,25.8
#165,400,8.8
266,800,8.8
267,800,26.2
268,800,10.0
269,800,6.5
270,1200,39.5
271,800,14.7
272,800,23.6
273,800,15.1
274,800,2.7
275,1200,58.2
276,800,16.0
277,800,20.0
278,800,39.7
279,800,7.3
280,800,24.6
281,800,45.4
282,1200,14.3
283,800,9.8
284,1200,14.5
#285,400,25.0
286,1200,26.6
287,800,17.0
288,800,10.1
289,800,6.0
290,1200,57.8
291,1200,15.8
292,800,34.0
293,1200,39.6
294,800,44.2
295,1200,22.8
